TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
23:28:14.046 python3        2679477 nvme1n1 WS   304352000  131072   13.542
23:28:14.046 python3        2679477 nvme1n1 WS   304352256  131072   13.621
23:28:14.046 python3        2679478 nvme1n1 WS   304071424  131072   13.691
23:28:14.046 python3        2679478 nvme1n1 WS   304136704  131072   13.757
23:28:14.046 python3        2679478 nvme1n1 WS   304136960  131072   13.834
23:28:14.046 python3        2679478 nvme1n1 WS   304114944  131072   13.915
23:28:14.046 python3        2679478 nvme1n1 WS   304357888  131072   13.984
23:28:14.046 python3        2679478 nvme1n1 WS   304358144  131072   14.061
23:28:14.047 python3        2679477 nvme1n1 WS   614052352  131072   14.135
23:28:14.047 python3        2679477 nvme1n1 WS   614052608  131072   14.209
23:28:14.047 python3        2679475 nvme1n1 WS   304098048  131072   14.292
23:28:14.047 python3        2679475 nvme1n1 WS   304144896  131072   14.368
23:28:14.047 python3        2679475 nvme1n1 WS   304145152  131072   14.444
23:28:14.047 python3        2679477 nvme1n1 WS   614052864  131072   14.528
23:28:14.047 python3        2679477 nvme1n1 WS   614053120  131072   14.598
23:28:14.047 python3        2679477 nvme1n1 WS   614053376  131072   14.671
23:28:14.047 python3        2679477 nvme1n1 WS   304352512  131072   14.753
23:28:14.047 python3        2679477 nvme1n1 WS   304366080  131072   14.818
23:28:14.047 python3        2679477 nvme1n1 WS   304366336  131072   14.891
23:28:14.047 python3        2679477 nvme1n1 WS   614053632  131072   14.969
23:28:14.048 python3        2679476 nvme1n1 WS   304123136  131072   15.049
23:28:14.048 python3        2679477 nvme1n1 WS   614053888  131072   15.125
23:28:14.048 python3        2679476 nvme1n1 WS   304153088  131072   15.203
23:28:14.048 python3        2679476 nvme1n1 WS   304153344  131072   15.275
23:28:14.048 python3        2679477 nvme1n1 WS   614054144  131072   15.317
23:28:14.048 python3        2679477 nvme1n1 WS   614054400  131072   15.474
23:28:14.048 python3        2679475 nvme1n1 WS   303311872  131072   15.394
23:28:14.048 python3        2679475 nvme1n1 WS   303312128  131072   15.542
23:28:14.048 python3        2679475 nvme1n1 WS   303312384  131072   15.706
23:28:14.048 python3        2679477 nvme1n1 WS   614054656  131072   15.618
23:28:14.048 python3        2679477 nvme1n1 WS   614054912  131072   15.778
23:28:14.048 python3        2679477 nvme1n1 WS   614055168  131072   15.843
23:28:14.048 python3        2679477 nvme1n1 WS   614055424  131072   15.915
23:28:14.049 python3        2679475 nvme1n1 WS   304079360  131072   16.002
23:28:14.049 python3        2679475 nvme1n1 WS   304079616  131072   16.114
23:28:14.049 python3        2679475 nvme1n1 WS   304079872  131072   16.178
23:28:14.049 python3        2679475 nvme1n1 WS   304080128  131072   16.248
23:28:14.049 python3        2679475 nvme1n1 WS   304080384  131072   16.322
23:28:14.049 python3        2679475 nvme1n1 WS   304080640  131072   16.398
23:28:14.049 python3        2679475 nvme1n1 WS   304080896  131072   16.468
23:28:14.049 python3        2679477 nvme1n1 WS   614055680  131072   16.529
23:28:14.049 python3        2679477 nvme1n1 WS   614017536  131072   16.606
23:28:14.049 python3        2679475 nvme1n1 WS   303312640  131072   16.676
23:28:14.049 python3        2679475 nvme1n1 WS   304374272  131072   16.746
23:28:14.049 python3        2679475 nvme1n1 WS   304374528  131072   16.820
23:28:14.049 python3        2679475 nvme1n1 WS   304374784  131072   16.893
23:28:14.050 python3        2679475 nvme1n1 WS   304375040  131072   16.965
23:28:14.050 python3        2679475 nvme1n1 WS   304081152  131072   17.043
23:28:14.050 python3        2679475 nvme1n1 WS   304375296  131072   17.124
23:28:14.050 python3        2679475 nvme1n1 WS   304375552  131072   17.190
23:28:14.050 python3        2679475 nvme1n1 WS   304375808  131072   17.260
23:28:14.050 python3        2679475 nvme1n1 WS   304081408  131072   17.347
23:28:14.050 python3        2679475 nvme1n1 WS   304081664  131072   17.420
23:28:14.050 python3        2679475 nvme1n1 WS   304081920  131072   17.487
23:28:14.050 python3        2679475 nvme1n1 WS   304082176  131072   17.562
23:28:14.050 python3        2679475 nvme1n1 WS   304082432  131072   17.634
23:28:14.050 python3        2679475 nvme1n1 WS   304376064  131072   17.694
23:28:14.050 python3        2679475 nvme1n1 WS   304376320  131072   17.767
23:28:14.050 python3        2679477 nvme1n1 WS   614017792  131072   17.855
23:28:14.051 python3        2679477 nvme1n1 WS   614056448  131072   17.930
23:28:14.051 python3        2679477 nvme1n1 WS   614056704  131072   18.003
23:28:14.051 python3        2679475 nvme1n1 WS   304376576  131072   18.081
23:28:14.051 python3        2679475 nvme1n1 WS   304376832  131072   18.151
23:28:14.051 python3        2679475 nvme1n1 WS   304082688  131072   18.218
23:28:14.051 python3        2679475 nvme1n1 WS   303825920  131072   18.298
23:28:14.051 python3        2679475 nvme1n1 WS   304377088  131072   18.319
23:28:14.051 python3        2679475 nvme1n1 WS   304382464  131072   18.392
23:28:14.051 python3        2679475 nvme1n1 WS   304382720  131072   18.471
23:28:14.051 python3        2679475 nvme1n1 WS   303826176  131072   18.544
23:28:14.051 python3        2679475 nvme1n1 WS   304161280  131072   18.622
23:28:14.051 python3        2679475 nvme1n1 WS   304161536  131072   18.697
23:28:14.052 python3        2679476 nvme1n1 WS   304169472  131072   15.937
23:28:14.052 python3        2679476 nvme1n1 WS   304169728  131072   15.997
23:28:14.052 python3        2679476 nvme1n1 WS   304169984  131072   16.076
23:28:14.052 python3        2679476 nvme1n1 WS   304170240  131072   16.151
23:28:14.052 python3        2679476 nvme1n1 WS   304170496  131072   16.225
23:28:14.052 python3        2679476 nvme1n1 WS   304170752  131072   16.305
23:28:14.052 python3        2679476 nvme1n1 WS   304171008  131072   16.381
23:28:14.052 python3        2679476 nvme1n1 WS   304171264  131072   16.421
23:28:14.052 python3        2679476 nvme1n1 WS   304171520  131072   16.491
23:28:14.052 python3        2679476 nvme1n1 WS   304171776  131072   16.560
23:28:14.052 python3        2679476 nvme1n1 WS   304172032  131072   16.630
23:28:14.052 python3        2679476 nvme1n1 WS   304172288  131072   16.701
23:28:14.052 python3        2679476 nvme1n1 WS   304172544  131072   16.775
23:28:14.053 python3        2679476 nvme1n1 WS   304172800  131072   16.814
23:28:14.053 python3        2679476 nvme1n1 WS   304089088  131072   16.883
23:28:14.053 python3        2679476 nvme1n1 WS   304089344  131072   16.883
23:28:14.053 python3        2679476 nvme1n1 WS   304177664  131072   16.956
23:28:14.053 python3        2679476 nvme1n1 WS   304177920  131072   17.031
23:28:14.053 python3        2679476 nvme1n1 WS   303563776  131072   16.944
23:28:14.053 python3        2679476 nvme1n1 WS   303564032  131072   17.021
23:28:14.053 python3        2679476 nvme1n1 WS   303564288  131072   17.103
23:28:14.055 python3        2679477 nvme1n1 WS   304185856  131072   17.171
23:28:14.055 python3        2679477 nvme1n1 WS   304186112  131072   17.254
23:28:14.055 python3        2679477 nvme1n1 WS   304186368  131072   17.334
23:28:14.055 python3        2679477 nvme1n1 WS   304186624  131072   17.411
23:28:14.055 python3        2679477 nvme1n1 WS   304186880  131072   17.517
23:28:14.055 python3        2679477 nvme1n1 WS   304187136  131072   17.590
23:28:14.055 python3        2679477 nvme1n1 WS   304187392  131072   17.662
23:28:14.055 python3        2679477 nvme1n1 WS   304187648  131072   18.256
23:28:14.055 python3        2679477 nvme1n1 WS   304187904  131072   18.333
23:28:14.055 python3        2679476 nvme1n1 WS   303564544  131072   17.730
23:28:14.055 python3        2679476 nvme1n1 WS   304390656  131072   17.821
23:28:14.055 python3        2679476 nvme1n1 WS   304390912  131072   17.877
23:28:14.055 python3        2679476 nvme1n1 WS   304391168  131072   17.948
23:28:14.055 python3        2679476 nvme1n1 WS   304391424  131072   18.024
23:28:14.055 python3        2679476 nvme1n1 WS   304391680  131072   18.094
23:28:14.055 python3        2679476 nvme1n1 WS   304391936  131072   18.170
23:28:14.055 python3        2679477 nvme1n1 WS   304188160  131072   18.408
23:28:14.055 python3        2679476 nvme1n1 WS   304392192  131072   18.498
23:28:14.055 python3        2679477 nvme1n1 WS   304188416  131072   18.561
23:28:14.055 python3        2679477 nvme1n1 WS   304188672  131072   18.637
23:28:14.055 python3        2679477 nvme1n1 WS   304188928  131072   18.712
23:28:14.055 python3        2679476 nvme1n1 WS   304392448  131072   18.785
23:28:14.055 python3        2679476 nvme1n1 WS   304392704  131072   18.857
23:28:14.055 python3        2679476 nvme1n1 WS   304392960  131072   18.936
23:28:14.055 python3        2679476 nvme1n1 WS   304393216  131072   19.010
23:28:14.055 python3        2679477 nvme1n1 WS   304189184  131072   19.073
23:28:14.055 python3        2679477 nvme1n1 WS   304097280  131072   19.138
23:28:14.055 python3        2679476 nvme1n1 WS   304393472  131072   19.168
23:28:14.055 python3        2679476 nvme1n1 WS   304398848  131072   19.236
23:28:14.056 python3        2679476 nvme1n1 WS   304399104  131072   19.312
23:28:14.056 python3        2679477 nvme1n1 WS   304097536  131072   19.368
23:28:14.056 python3        2679477 nvme1n1 WS   304194048  131072   19.441
23:28:14.056 python3        2679477 nvme1n1 WS   304194304  131072   19.517
23:28:14.056 python3        2679478 nvme1n1 WS   304202240  131072   19.231
23:28:14.056 python3        2679478 nvme1n1 WS   304202496  131072   19.311
23:28:14.056 python3        2679478 nvme1n1 WS   304202752  131072   19.376
23:28:14.056 python3        2679478 nvme1n1 WS   304203008  131072   19.499
23:28:14.056 python3        2679478 nvme1n1 WS   304203264  131072   19.625
23:28:14.056 python3        2679478 nvme1n1 WS   304203520  131072   19.749
23:28:14.057 python3        2679478 nvme1n1 WS   304203776  131072   19.872
23:28:14.057 python3        2679478 nvme1n1 WS   304204032  131072   19.956
23:28:14.057 python3        2679478 nvme1n1 WS   304204288  131072   20.081
23:28:14.057 python3        2679478 nvme1n1 WS   304204544  131072   20.201
23:28:14.057 python3        2679478 nvme1n1 WS   304204800  131072   20.278
23:28:14.057 python3        2679478 nvme1n1 WS   304205056  131072   20.353
23:28:14.057 python3        2679478 nvme1n1 WS   304205312  131072   20.428
23:28:14.057 python3        2679478 nvme1n1 WS   304205568  131072   20.459
23:28:14.057 python3        2679478 nvme1n1 WS   304105984  131072   20.537
23:28:14.057 python3        2679478 nvme1n1 WS   304106240  131072   20.553
23:28:14.058 python3        2679478 nvme1n1 WS   304210432  131072   20.623
23:28:14.058 python3        2679478 nvme1n1 WS   304210688  131072   20.696
23:28:14.058 python3        2679476 nvme1n1 WS   304218624  131072   19.655
23:28:14.058 python3        2679476 nvme1n1 WS   304218880  131072   19.733
23:28:14.058 python3        2679476 nvme1n1 WS   304219136  131072   19.808
23:28:14.058 python3        2679476 nvme1n1 WS   304219392  131072   19.886
23:28:14.058 python3        2679476 nvme1n1 WS   304219648  131072   19.955
23:28:14.058 python3        2679476 nvme1n1 WS   304219904  131072   20.027
23:28:14.058 python3        2679476 nvme1n1 WS   304220160  131072   20.100
23:28:14.058 python3        2679476 nvme1n1 WS   304220416  131072   20.131
23:28:14.058 python3        2679476 nvme1n1 WS   304220672  131072   20.207
23:28:14.058 python3        2679476 nvme1n1 WS   304220928  131072   20.285
23:28:14.058 python3        2679476 nvme1n1 WS   304221184  131072   20.357
23:28:14.059 python3        2679476 nvme1n1 WS   304221440  131072   20.432
23:28:14.059 python3        2679476 nvme1n1 WS   304221696  131072   20.508
23:28:14.059 python3        2679476 nvme1n1 WS   304221952  131072   20.540
23:28:14.059 python3        2679476 nvme1n1 WS   304115200  131072   20.614
23:28:14.059 python3        2679476 nvme1n1 WS   304115456  131072   20.662
23:28:14.059 python3        2679476 nvme1n1 WS   304226816  131072   20.735
23:28:14.059 python3        2679476 nvme1n1 WS   304227072  131072   20.824
23:28:14.059 python3        2679475 nvme1n1 WS   304235008  131072   20.213
23:28:14.059 python3        2679475 nvme1n1 WS   304235264  131072   20.329
23:28:14.059 python3        2679475 nvme1n1 WS   304235520  131072   20.448
23:28:14.060 python3        2679475 nvme1n1 WS   304235776  131072   20.572
