TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
13:44:23.200 kworker        2500470 nvme1n1 W    1130046200 8192      0.055
13:44:25.562 python3        2290921 nvme1n1 WS   632808960  131072    9.707
13:44:25.562 python3        2290921 nvme1n1 WS   632811520  131072    9.781
13:44:25.562 python3        2290921 nvme1n1 WS   632811776  131072    9.849
13:44:25.562 python3        2290921 nvme1n1 WS   632812032  131072    9.923
13:44:25.563 python3        2290921 nvme1n1 WS   632812288  131072    9.995
13:44:25.563 python3        2290923 nvme1n1 WS   632823808  131072   10.074
13:44:25.563 python3        2290923 nvme1n1 WS   632824064  131072   10.148
13:44:25.563 python3        2290923 nvme1n1 WS   632824320  131072   10.224
13:44:25.563 python3        2290923 nvme1n1 WS   632824576  131072   10.299
13:44:25.563 python3        2290921 nvme1n1 WS   632812544  131072   10.404
13:44:25.563 python3        2290921 nvme1n1 WS   632812800  131072   10.464
13:44:25.563 python3        2290921 nvme1n1 WS   632813056  131072   10.537
13:44:25.563 python3        2290921 nvme1n1 WS   632809216  131072   10.629
13:44:25.563 python3        2290921 nvme1n1 WS   632809472  131072   10.700
13:44:25.563 python3        2290921 nvme1n1 WS   632809728  131072   10.774
13:44:25.563 python3        2290921 nvme1n1 WS   632809984  131072   10.850
13:44:25.564 python3        2290921 nvme1n1 WS   632810240  131072   10.959
13:44:25.564 python3        2290921 nvme1n1 WS   632810496  131072   11.036
13:44:25.564 python3        2290921 nvme1n1 WS   632810752  131072   11.110
13:44:25.564 python3        2290921 nvme1n1 WS   632811008  131072   11.186
13:44:25.564 python3        2290923 nvme1n1 WS   632824832  131072   11.280
13:44:25.564 python3        2290923 nvme1n1 WS   632825088  131072   11.357
13:44:25.564 python3        2290923 nvme1n1 WS   632825344  131072   11.432
13:44:25.564 python3        2290921 nvme1n1 WS   632813312  131072   11.500
13:44:25.564 python3        2290921 nvme1n1 WS   632813568  131072   11.579
13:44:25.564 python3        2290921 nvme1n1 WS   632813824  131072   11.656
13:44:25.564 python3        2290921 nvme1n1 WS   632814080  131072   11.733
13:44:25.564 python3        2290921 nvme1n1 WS   632814336  131072   11.806
13:44:25.565 python3        2290921 nvme1n1 WS   632811264  131072   11.891
13:44:25.565 python3        2290923 nvme1n1 WS   632825600  131072   11.966
13:44:25.565 python3        2290921 nvme1n1 WS   632827904  131072   12.048
13:44:25.565 python3        2290921 nvme1n1 WS   632828160  131072   12.124
13:44:25.565 python3        2290921 nvme1n1 WS   632814592  131072   12.199
13:44:25.565 python3        2290921 nvme1n1 WS   632814848  131072   12.270
13:44:25.565 python3        2290921 nvme1n1 WS   632815104  131072   12.344
13:44:25.565 python3        2290923 nvme1n1 WS   632825856  131072   12.431
13:44:25.565 python3        2290923 nvme1n1 WS   632826112  131072   12.508
13:44:25.565 python3        2290923 nvme1n1 WS   632826368  131072   12.583
13:44:25.565 python3        2290923 nvme1n1 WS   632826624  131072   12.657
13:44:25.565 python3        2290923 nvme1n1 WS   632826880  131072   12.734
13:44:25.565 python3        2290923 nvme1n1 WS   632827136  131072   12.802
13:44:25.566 python3        2290923 nvme1n1 WS   632827392  131072   12.875
13:44:25.566 python3        2290921 nvme1n1 WS   632815360  131072   12.936
13:44:25.566 python3        2290921 nvme1n1 WS   632832000  131072   13.010
13:44:25.566 python3        2290921 nvme1n1 WS   632832256  131072   13.085
13:44:25.566 python3        2290923 nvme1n1 WS   632827648  131072   13.165
13:44:25.566 python3        2290923 nvme1n1 WS   632836096  131072   13.240
13:44:25.566 python3        2290923 nvme1n1 WS   632836352  131072   13.313
13:44:25.566 python3        2290920 nvme1n1 WS   632840192  131072   13.227
13:44:25.566 python3        2290920 nvme1n1 WS   632840448  131072   13.301
13:44:25.566 python3        2290920 nvme1n1 WS   632840704  131072   13.376
13:44:25.566 python3        2290920 nvme1n1 WS   632840960  131072   13.451
13:44:25.566 python3        2290920 nvme1n1 WS   632841216  131072   13.529
13:44:25.566 python3        2290920 nvme1n1 WS   632841472  131072   13.605
13:44:25.567 python3        2290920 nvme1n1 WS   632841728  131072   13.681
13:44:25.567 python3        2290920 nvme1n1 WS   632841984  131072   13.734
13:44:25.567 python3        2290920 nvme1n1 WS   632842240  131072   13.809
13:44:25.567 python3        2290920 nvme1n1 WS   632842496  131072   13.884
13:44:25.567 python3        2290920 nvme1n1 WS   632842752  131072   13.956
13:44:25.567 python3        2290920 nvme1n1 WS   632843008  131072   14.027
13:44:25.567 python3        2290920 nvme1n1 WS   632843264  131072   14.106
13:44:25.567 python3        2290920 nvme1n1 WS   632844288  131072   14.194
13:44:25.567 python3        2290920 nvme1n1 WS   632844544  131072   14.260
13:44:25.567 python3        2290920 nvme1n1 WS   632844800  131072   14.334
13:44:25.567 python3        2290920 nvme1n1 WS   632845056  131072   14.407
13:44:25.567 python3        2290920 nvme1n1 WS   632845312  131072   14.483
13:44:25.567 python3        2290920 nvme1n1 WS   632843520  131072   14.567
13:44:25.568 python3        2290920 nvme1n1 WS   632843776  131072   14.643
13:44:25.568 python3        2290920 nvme1n1 WS   632845568  131072   14.720
13:44:25.568 python3        2290920 nvme1n1 WS   632845824  131072   14.797
13:44:25.568 python3        2290920 nvme1n1 WS   632844032  131072   14.846
13:44:25.568 python3        2290920 nvme1n1 WS   632848384  131072   14.922
13:44:25.568 python3        2290920 nvme1n1 WS   632848640  131072   15.000
13:44:25.568 python3        2290920 nvme1n1 WS   632846080  131072   15.060
13:44:25.568 python3        2290920 nvme1n1 WS   632846336  131072   15.134
13:44:25.568 python3        2290920 nvme1n1 WS   632846592  131072   15.207
13:44:25.568 python3        2290920 nvme1n1 WS   632846848  131072   15.283
13:44:25.568 python3        2290920 nvme1n1 WS   632847104  131072   15.356
13:44:25.568 python3        2290920 nvme1n1 WS   632847360  131072   15.466
13:44:25.569 python3        2290920 nvme1n1 WS   632847616  131072   15.537
13:44:25.569 python3        2290920 nvme1n1 WS   632847872  131072   15.616
13:44:25.569 python3        2290920 nvme1n1 WS   632848128  131072   15.668
13:44:25.569 python3        2290920 nvme1n1 WS   632852480  131072   15.744
13:44:25.569 python3        2290920 nvme1n1 WS   632852736  131072   15.821
13:44:25.569 python3        2290920 nvme1n1 WS   632856576  131072   15.811
13:44:25.569 python3        2290920 nvme1n1 WS   632856832  131072   15.868
13:44:25.569 python3        2290920 nvme1n1 WS   632857088  131072   15.942
13:44:25.569 python3        2290920 nvme1n1 WS   632857344  131072   16.014
13:44:25.569 python3        2290920 nvme1n1 WS   632857600  131072   16.087
13:44:25.569 python3        2290920 nvme1n1 WS   632857856  131072   16.158
13:44:25.569 python3        2290920 nvme1n1 WS   632858112  131072   16.236
13:44:25.570 python3        2290920 nvme1n1 WS   632858368  131072   16.281
13:44:25.570 python3        2290920 nvme1n1 WS   632858624  131072   16.353
13:44:25.570 python3        2290920 nvme1n1 WS   632858880  131072   16.428
13:44:25.570 python3        2290920 nvme1n1 WS   632859136  131072   16.501
13:44:25.570 python3        2290920 nvme1n1 WS   632859392  131072   16.577
13:44:25.570 python3        2290920 nvme1n1 WS   632859648  131072   16.654
13:44:25.570 python3        2290920 nvme1n1 WS   632859904  131072   16.730
13:44:25.570 python3        2290920 nvme1n1 WS   632860160  131072   16.806
13:44:25.570 python3        2290920 nvme1n1 WS   632860416  131072   16.861
13:44:25.570 python3        2290920 nvme1n1 WS   632860672  131072   16.941
13:44:25.570 python3        2290920 nvme1n1 WS   632860928  131072   17.015
13:44:25.570 python3        2290922 nvme1n1 WS   632864768  131072   17.071
13:44:25.570 python3        2290922 nvme1n1 WS   632865024  131072   17.143
13:44:25.571 python3        2290922 nvme1n1 WS   632865280  131072   17.222
13:44:25.571 python3        2290922 nvme1n1 WS   632865536  131072   17.296
13:44:25.571 python3        2290922 nvme1n1 WS   632865792  131072   17.370
13:44:25.571 python3        2290922 nvme1n1 WS   632866048  131072   17.446
13:44:25.571 python3        2290922 nvme1n1 WS   632866304  131072   17.524
13:44:25.571 python3        2290922 nvme1n1 WS   632866560  131072   17.575
13:44:25.571 python3        2290922 nvme1n1 WS   632866816  131072   17.652
13:44:25.571 python3        2290922 nvme1n1 WS   632867072  131072   17.726
13:44:25.571 python3        2290922 nvme1n1 WS   632867328  131072   17.800
13:44:25.571 python3        2290922 nvme1n1 WS   632867584  131072   17.879
13:44:25.571 python3        2290922 nvme1n1 WS   632867840  131072   17.948
13:44:25.571 python3        2290922 nvme1n1 WS   632868096  131072   18.022
13:44:25.571 python3        2290922 nvme1n1 WS   632868352  131072   18.099
13:44:25.572 python3        2290922 nvme1n1 WS   632868608  131072   18.151
13:44:25.572 python3        2290922 nvme1n1 WS   632868864  131072   18.228
13:44:25.572 python3        2290922 nvme1n1 WS   632869120  131072   18.305
13:44:25.572 python3        2290921 nvme1n1 WS   632872960  131072   17.974
13:44:25.572 python3        2290921 nvme1n1 WS   632873216  131072   18.041
13:44:25.572 python3        2290921 nvme1n1 WS   632873472  131072   18.170
