TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
13:56:01.871 python3        2290921 nvme1n1 WS   804364544  131072    9.486
13:56:01.871 python3        2290921 nvme1n1 WS   804364800  131072    9.572
13:56:01.871 python3        2290921 nvme1n1 WS   804365056  131072    9.638
13:56:01.871 python3        2290921 nvme1n1 WS   804365312  131072    9.708
13:56:01.871 python3        2290921 nvme1n1 WS   804365568  131072    9.780
13:56:01.871 python3        2290921 nvme1n1 WS   804365824  131072    9.863
13:56:01.871 python3        2290922 nvme1n1 WS   804355840  131072    9.951
13:56:01.871 python3        2290922 nvme1n1 WS   804368384  131072   10.023
13:56:01.871 python3        2290922 nvme1n1 WS   804368640  131072   10.094
13:56:01.871 python3        2290920 nvme1n1 WS   804357888  131072   10.187
13:56:01.871 python3        2290920 nvme1n1 WS   804358144  131072   10.257
13:56:01.871 python3        2290920 nvme1n1 WS   804358400  131072   10.328
13:56:01.871 python3        2290920 nvme1n1 WS   804358656  131072   10.404
13:56:01.871 python3        2290920 nvme1n1 WS   804358912  131072   10.476
13:56:01.871 python3        2290920 nvme1n1 WS   804359168  131072   10.553
13:56:01.871 python3        2290920 nvme1n1 WS   804359424  131072   10.628
13:56:01.871 python3        2290920 nvme1n1 WS   804359680  131072   10.707
13:56:01.871 python3        2290920 nvme1n1 WS   804359936  131072   10.758
13:56:01.871 python3        2290920 nvme1n1 WS   804372480  131072   10.869
13:56:01.871 python3        2290921 nvme1n1 WS   804366080  131072   10.970
13:56:01.871 python3        2290921 nvme1n1 WS   804366336  131072   11.037
13:56:01.872 python3        2290921 nvme1n1 WS   804366592  131072   11.118
13:56:01.872 python3        2290920 nvme1n1 WS   804372736  131072   11.191
13:56:01.872 python3        2290921 nvme1n1 WS   804366848  131072   11.260
13:56:01.872 python3        2290921 nvme1n1 WS   804367104  131072   11.335
13:56:01.872 python3        2290921 nvme1n1 WS   804367360  131072   11.408
13:56:01.872 python3        2290921 nvme1n1 WS   804367616  131072   11.485
13:56:01.872 python3        2290921 nvme1n1 WS   804367872  131072   11.552
13:56:01.872 python3        2290921 nvme1n1 WS   804368128  131072   11.607
13:56:01.872 python3        2290921 nvme1n1 WS   804376576  131072   11.684
13:56:01.872 python3        2290921 nvme1n1 WS   804376832  131072   11.762
13:56:01.872 python3        2290920 nvme1n1 WS   804380672  131072   11.778
13:56:01.872 python3        2290920 nvme1n1 WS   804380928  131072   11.845
13:56:01.873 python3        2290920 nvme1n1 WS   804381184  131072   11.916
13:56:01.873 python3        2290920 nvme1n1 WS   804381440  131072   11.986
13:56:01.873 python3        2290920 nvme1n1 WS   804381696  131072   12.064
13:56:01.873 python3        2290920 nvme1n1 WS   804381952  131072   12.138
13:56:01.873 python3        2290920 nvme1n1 WS   804382208  131072   12.212
13:56:01.873 python3        2290920 nvme1n1 WS   804382464  131072   12.253
13:56:01.873 python3        2290920 nvme1n1 WS   804382720  131072   12.330
13:56:01.873 python3        2290920 nvme1n1 WS   804382976  131072   12.401
13:56:01.874 python3        2290920 nvme1n1 WS   804383232  131072   12.474
13:56:01.874 python3        2290920 nvme1n1 WS   804383488  131072   12.551
13:56:01.874 python3        2290920 nvme1n1 WS   804383744  131072   12.620
13:56:01.874 python3        2290920 nvme1n1 WS   804384000  131072   12.699
13:56:01.874 python3        2290920 nvme1n1 WS   804384256  131072   12.772
13:56:01.874 python3        2290920 nvme1n1 WS   804384512  131072   12.827
13:56:01.874 python3        2290920 nvme1n1 WS   804384768  131072   12.901
13:56:01.874 python3        2290920 nvme1n1 WS   804385024  131072   12.980
13:56:01.874 python3        2290920 nvme1n1 WS   804388864  131072   12.970
13:56:01.874 python3        2290920 nvme1n1 WS   804389120  131072   13.040
13:56:01.874 python3        2290920 nvme1n1 WS   804389376  131072   13.117
13:56:01.874 python3        2290920 nvme1n1 WS   804519936  131072   13.202
13:56:01.874 python3        2290920 nvme1n1 WS   804520192  131072   13.269
13:56:01.874 python3        2290920 nvme1n1 WS   804520448  131072   13.348
13:56:01.874 python3        2290920 nvme1n1 WS   804520704  131072   13.420
13:56:01.874 python3        2290920 nvme1n1 WS   804389632  131072   13.508
13:56:01.874 python3        2290920 nvme1n1 WS   804389888  131072   13.578
13:56:01.875 python3        2290920 nvme1n1 WS   804390144  131072   13.651
13:56:01.875 python3        2290920 nvme1n1 WS   804520960  131072   13.727
13:56:01.875 python3        2290920 nvme1n1 WS   804521216  131072   13.803
13:56:01.875 python3        2290920 nvme1n1 WS   804390400  131072   13.885
13:56:01.875 python3        2290920 nvme1n1 WS   804521472  131072   13.958
13:56:01.875 python3        2290920 nvme1n1 WS   804390656  131072   14.008
13:56:01.875 python3        2290920 nvme1n1 WS   804390912  131072   14.082
13:56:01.875 python3        2290920 nvme1n1 WS   804391168  131072   14.155
13:56:01.875 python3        2290920 nvme1n1 WS   804521728  131072   14.235
13:56:01.875 python3        2290920 nvme1n1 WS   804391424  131072   14.312
13:56:01.875 python3        2290920 nvme1n1 WS   804391680  131072   14.383
13:56:01.875 python3        2290920 nvme1n1 WS   804391936  131072   14.461
13:56:01.875 python3        2290920 nvme1n1 WS   804521984  131072   14.542
13:56:01.876 python3        2290920 nvme1n1 WS   804522240  131072   14.611
13:56:01.876 python3        2290920 nvme1n1 WS   804522496  131072   14.688
13:56:01.876 python3        2290920 nvme1n1 WS   804522752  131072   14.763
13:56:01.876 python3        2290920 nvme1n1 WS   804523008  131072   14.839
13:56:01.876 python3        2290920 nvme1n1 WS   804523264  131072   14.914
13:56:01.876 python3        2290920 nvme1n1 WS   804392192  131072   15.004
13:56:01.876 python3        2290920 nvme1n1 WS   804392448  131072   15.077
13:56:01.876 python3        2290920 nvme1n1 WS   804523520  131072   15.146
13:56:01.876 python3        2290920 nvme1n1 WS   804392704  131072   15.208
13:56:01.876 python3        2290920 nvme1n1 WS   804397056  131072   15.318
13:56:01.876 python3        2290920 nvme1n1 WS   804397312  131072   15.393
13:56:01.876 python3        2290920 nvme1n1 WS   804523776  131072   15.480
13:56:01.877 python3        2290920 nvme1n1 WS   804524032  131072   15.555
13:56:01.877 python3        2290920 nvme1n1 WS   804524288  131072   15.634
13:56:01.877 python3        2290923 nvme1n1 WS   804392960  131072   15.724
13:56:01.877 python3        2290923 nvme1n1 WS   804393216  131072   15.795
13:56:01.877 python3        2290923 nvme1n1 WS   804393472  131072   15.850
13:56:01.877 python3        2290923 nvme1n1 WS   804393728  131072   15.922
13:56:01.877 python3        2290923 nvme1n1 WS   804393984  131072   16.000
13:56:01.877 python3        2290923 nvme1n1 WS   804394240  131072   16.070
13:56:01.877 python3        2290923 nvme1n1 WS   804394496  131072   16.147
13:56:01.877 python3        2290923 nvme1n1 WS   804394752  131072   16.193
13:56:01.877 python3        2290923 nvme1n1 WS   804395008  131072   16.275
13:56:01.877 python3        2290923 nvme1n1 WS   804395264  131072   16.349
13:56:01.877 python3        2290923 nvme1n1 WS   804395520  131072   16.423
13:56:01.878 python3        2290923 nvme1n1 WS   804395776  131072   16.505
13:56:01.878 python3        2290923 nvme1n1 WS   804396032  131072   16.575
13:56:01.878 python3        2290923 nvme1n1 WS   804396288  131072   16.650
13:56:01.878 python3        2290923 nvme1n1 WS   804396544  131072   16.731
13:56:01.878 python3        2290923 nvme1n1 WS   804396800  131072   16.776
13:56:01.878 python3        2290923 nvme1n1 WS   804409344  131072   16.851
13:56:01.878 python3        2290923 nvme1n1 WS   804409600  131072   16.925
13:56:01.878 python3        2290922 nvme1n1 WS   804401152  131072   16.995
13:56:01.878 python3        2290922 nvme1n1 WS   804401408  131072   17.068
13:56:01.878 python3        2290922 nvme1n1 WS   804401664  131072   17.147
13:56:01.878 python3        2290922 nvme1n1 WS   804401920  131072   17.210
13:56:01.878 python3        2290922 nvme1n1 WS   804402176  131072   17.282
13:56:01.878 python3        2290922 nvme1n1 WS   804402432  131072   17.355
13:56:01.879 python3        2290923 nvme1n1 WS   804405248  131072   17.446
13:56:01.879 python3        2290923 nvme1n1 WS   804405504  131072   17.513
13:56:01.879 python3        2290922 nvme1n1 WS   804402688  131072   17.585
13:56:01.879 python3        2290923 nvme1n1 WS   804405760  131072   17.659
13:56:01.879 python3        2290923 nvme1n1 WS   804406016  131072   17.734
13:56:01.879 python3        2290923 nvme1n1 WS   804406272  131072   17.808
13:56:01.879 python3        2290923 nvme1n1 WS   804406528  131072   17.882
13:56:01.879 python3        2290923 nvme1n1 WS   804406784  131072   17.957
13:56:01.879 python3        2290923 nvme1n1 WS   170016768  131072   18.029
13:56:01.879 python3        2290923 nvme1n1 WS   170017024  131072   18.099
13:56:01.879 python3        2290923 nvme1n1 WS   170017280  131072   18.172
13:56:01.879 python3        2290923 nvme1n1 WS   170017536  131072   18.243
13:56:01.880 python3        2290922 nvme1n1 WS   804402944  131072   18.333
13:56:01.880 python3        2290922 nvme1n1 WS   804403200  131072   18.404
13:56:01.880 python3        2290922 nvme1n1 WS   804403456  131072   18.479
13:56:01.880 python3        2290923 nvme1n1 WS   804407040  131072   18.560
13:56:01.880 python3        2290923 nvme1n1 WS   170017792  131072   18.642
13:56:01.880 python3        2290923 nvme1n1 WS   170018048  131072   18.715
13:56:01.880 python3        2290923 nvme1n1 WS   170018304  131072   18.791
13:56:01.880 python3        2290923 nvme1n1 WS   804407296  131072   18.876
13:56:01.880 python3        2290923 nvme1n1 WS   804407552  131072   18.950
13:56:01.880 python3        2290923 nvme1n1 WS   804407808  131072   19.023
13:56:01.880 python3        2290922 nvme1n1 WS   804403712  131072   19.110
13:56:01.880 python3        2290922 nvme1n1 WS   804403968  131072   19.186
13:56:01.880 python3        2290922 nvme1n1 WS   804404224  131072   19.260
13:56:01.881 python3        2290923 nvme1n1 WS   804408064  131072   19.335
13:56:01.881 python3        2290923 nvme1n1 WS   804408320  131072   19.412
13:56:01.881 python3        2290923 nvme1n1 WS   804408576  131072   19.488
13:56:01.881 python3        2290923 nvme1n1 WS   804408832  131072   19.564
13:56:01.881 python3        2290922 nvme1n1 WS   804404480  131072   19.652
13:56:01.881 python3        2290922 nvme1n1 WS   804404736  131072   19.731
13:56:01.881 python3        2290922 nvme1n1 WS   804404992  131072   19.784
13:56:01.881 python3        2290922 nvme1n1 WS   804413440  131072   19.861
13:56:01.881 python3        2290922 nvme1n1 WS   804413696  131072   19.968
13:56:01.881 python3        2290923 nvme1n1 WS   170018560  131072   20.057
13:56:01.881 python3        2290923 nvme1n1 WS   170018816  131072   20.129
13:56:01.881 python3        2290923 nvme1n1 WS   170019072  131072   20.201
13:56:01.882 python3        2290923 nvme1n1 WS   170019328  131072   20.276
13:56:01.882 python3        2290923 nvme1n1 WS   170019584  131072   20.356
13:56:01.882 python3        2290923 nvme1n1 WS   170019840  131072   20.428
13:56:01.882 python3        2290923 nvme1n1 WS   170020096  131072   20.505
13:56:01.882 python3        2290923 nvme1n1 WS   170020352  131072   20.578
13:56:01.882 python3        2290923 nvme1n1 WS   170020608  131072   20.635
13:56:01.882 python3        2290923 nvme1n1 WS   170020864  131072   20.715
13:56:01.882 python3        2290923 nvme1n1 WS   170021120  131072   20.781
13:56:01.882 python3        2290923 nvme1n1 WS   804409088  131072   20.912
13:56:01.882 python3        2290923 nvme1n1 WS   804417536  131072   20.985
13:56:01.882 python3        2290923 nvme1n1 WS   804417792  131072   21.060
13:56:01.882 python3        2290921 nvme1n1 WS   804421632  131072   20.496
13:56:01.882 python3        2290921 nvme1n1 WS   804421888  131072   20.563
13:56:01.883 python3        2290921 nvme1n1 WS   804422144  131072   20.641
13:56:01.883 python3        2290921 nvme1n1 WS   804422400  131072   20.714
13:56:01.883 python3        2290921 nvme1n1 WS   804422656  131072   20.790
13:56:01.883 python3        2290921 nvme1n1 WS   804422912  131072   20.874
13:56:01.883 python3        2290921 nvme1n1 WS   804423168  131072   20.949
13:56:01.883 python3        2290921 nvme1n1 WS   804423424  131072   21.021
13:56:01.883 python3        2290921 nvme1n1 WS   804423680  131072   21.087
13:56:01.883 python3        2290921 nvme1n1 WS   804423936  131072   21.141
13:56:01.883 python3        2290921 nvme1n1 WS   804424192  131072   21.213
13:56:01.883 python3        2290921 nvme1n1 WS   804424448  131072   21.285
13:56:01.883 python3        2290921 nvme1n1 WS   804424704  131072   21.357
13:56:01.883 python3        2290921 nvme1n1 WS   804424960  131072   21.431
13:56:01.884 python3        2290921 nvme1n1 WS   804425216  131072   21.510
13:56:01.884 python3        2290921 nvme1n1 WS   804425472  131072   21.566
13:56:01.884 python3        2290922 nvme1n1 WS   804429824  131072   19.967
13:56:01.884 python3        2290922 nvme1n1 WS   804430080  131072   20.038
13:56:01.884 python3        2290922 nvme1n1 WS   804430336  131072   20.112
13:56:01.884 python3        2290922 nvme1n1 WS   804430592  131072   20.192
13:56:01.884 python3        2290922 nvme1n1 WS   804430848  131072   20.267
13:56:01.884 python3        2290922 nvme1n1 WS   804431104  131072   20.345
13:56:01.884 python3        2290922 nvme1n1 WS   804431360  131072   20.421
13:56:01.884 python3        2290922 nvme1n1 WS   804431616  131072   20.469
13:56:01.884 python3        2290922 nvme1n1 WS   804431872  131072   20.543
13:56:01.884 python3        2290922 nvme1n1 WS   804432128  131072   20.614
13:56:01.884 python3        2290922 nvme1n1 WS   804432384  131072   20.685
13:56:01.885 python3        2290922 nvme1n1 WS   804432640  131072   20.761
13:56:01.885 python3        2290921 nvme1n1 WS   804425728  131072   22.603
13:56:01.885 python3        2290921 nvme1n1 WS   804425984  131072   22.676
13:56:01.885 python3        2290922 nvme1n1 WS   804432896  131072   20.995
