TIMESTAMP    COMM           PID     DISK    T    SECTOR     BYTES   LAT(ms)
06:39:32.391 python3        1784367 nvme1n1 WS   316377600  131072   12.582
06:39:32.391 python3        1784367 nvme1n1 WS   316377856  131072   12.660
06:39:32.391 python3        1784367 nvme1n1 WS   316378112  131072   12.739
06:39:32.391 python3        1784367 nvme1n1 WS   316378368  131072   12.817
06:39:32.392 python3        1784367 nvme1n1 WS   316378624  131072   12.894
06:39:32.392 python3        1784369 nvme1n1 WS   64471808   131072   13.040
06:39:32.392 python3        1784369 nvme1n1 WS   64472064   131072   13.114
06:39:32.392 python3        1784369 nvme1n1 WS   64472320   131072   13.189
06:39:32.392 python3        1784369 nvme1n1 WS   64472576   131072   13.263
06:39:32.392 python3        1784369 nvme1n1 WS   64472832   131072   13.314
06:39:32.392 python3        1784369 nvme1n1 WS   64473088   131072   13.388
06:39:32.392 python3        1784369 nvme1n1 WS   64473344   131072   13.461
06:39:32.392 python3        1784369 nvme1n1 WS   64473600   131072   13.536
06:39:32.392 python3        1784369 nvme1n1 WS   64473856   131072   13.610
06:39:32.392 python3        1784369 nvme1n1 WS   64474112   131072   13.688
06:39:32.392 python3        1784369 nvme1n1 WS   64474368   131072   13.766
06:39:32.393 python3        1784369 nvme1n1 WS   64474624   131072   13.841
06:39:32.393 python3        1784366 nvme1n1 WS   316372736  131072   14.003
06:39:32.393 python3        1784366 nvme1n1 WS   316372992  131072   14.074
06:39:32.393 python3        1784366 nvme1n1 WS   316373248  131072   14.149
06:39:32.393 python3        1784366 nvme1n1 WS   316373504  131072   14.224
06:39:32.393 python3        1784366 nvme1n1 WS   316373760  131072   14.303
06:39:32.393 python3        1784366 nvme1n1 WS   316374016  131072   14.378
06:39:32.393 python3        1784366 nvme1n1 WS   316374272  131072   14.457
06:39:32.393 python3        1784366 nvme1n1 WS   316374528  131072   14.536
06:39:32.393 python3        1784366 nvme1n1 WS   316374784  131072   14.590
06:39:32.393 python3        1784366 nvme1n1 WS   316379136  131072   14.667
06:39:32.393 python3        1784366 nvme1n1 WS   316379392  131072   14.746
06:39:32.394 python3        1784367 nvme1n1 WS   316378880  131072   14.810
06:39:32.394 python3        1784367 nvme1n1 WS   316383232  131072   14.887
06:39:32.394 python3        1784367 nvme1n1 WS   316383488  131072   14.969
06:39:32.394 python3        1784369 nvme1n1 WS   64474880   131072   15.044
06:39:32.394 python3        1784369 nvme1n1 WS   64475136   131072   15.118
06:39:32.394 python3        1784369 nvme1n1 WS   64475392   131072   15.196
06:39:32.690 nvme           1951954 Unknown N    -1         512       0.032
06:39:33.693 nvme           1951968 Unknown N    -1         512       0.076
06:39:34.695 nvme           1951977 Unknown N    -1         512       0.077
06:39:35.697 nvme           1951990 Unknown N    -1         512       0.078
